ID,Total NDVI,Average NDVI,Image Name
5,466219,186.4876,Photo1_2023_02_04_12_00_36_NDVI.jpg
6,467143,186.8572,Photo1_2023_02_04_12_00_36_NDVI.jpg
7,467580,187.032,Photo1_2023_02_04_12_00_36_NDVI.jpg
8,473234,189.2936,Photo1_2023_02_04_12_00_36_NDVI.jpg
9,460104,184.0416,Photo1_2023_02_04_12_00_36_NDVI.jpg
10,460550,184.22,Photo1_2023_02_04_12_00_36_NDVI.jpg
1,463784,185.5136,Photo1_2023_02_03_18_55_30_NDVI.jpg
2,467198,186.8792,Photo1_2023_02_03_18_55_30_NDVI.jpg
3,467034,186.8136,Photo1_2023_02_03_18_55_30_NDVI.jpg
4,462977,185.1908,Photo1_2023_02_03_18_55_30_NDVI.jpg
5,462490,184.996,Photo1_2023_02_03_18_55_30_NDVI.jpg
6,461665,184.666,Photo1_2023_02_03_18_55_30_NDVI.jpg
7,461864,184.7456,Photo1_2023_02_03_18_55_30_NDVI.jpg
8,460960,184.384,Photo1_2023_02_03_18_55_30_NDVI.jpg
9,464033,185.6132,Photo1_2023_02_03_18_55_30_NDVI.jpg
10,463801,185.5204,Photo1_2023_02_03_18_55_30_NDVI.jpg
1,459120,183.648,Photo1_2023_02_14_13_00_39_NDVI.jpg
2,458750,183.5,Photo1_2023_02_14_13_00_39_NDVI.jpg
3,459112,183.6448,Photo1_2023_02_14_13_00_39_NDVI.jpg
4,459004,183.6016,Photo1_2023_02_14_13_00_39_NDVI.jpg
5,457870,183.148,Photo1_2023_02_14_13_00_39_NDVI.jpg
6,457990,183.196,Photo1_2023_02_14_13_00_39_NDVI.jpg
7,457824,183.1296,Photo1_2023_02_14_13_00_39_NDVI.jpg
8,458157,183.2628,Photo1_2023_02_14_13_00_39_NDVI.jpg
9,459334,183.7336,Photo1_2023_02_14_13_00_39_NDVI.jpg
10,458865,183.546,Photo1_2023_02_14_13_00_39_NDVI.jpg
1,457274,182.9096,Photo1_2023_02_12_14_00_36_NDVI.jpg
2,459665,183.866,Photo1_2023_02_12_14_00_36_NDVI.jpg
3,459810,183.924,Photo1_2023_02_12_14_00_36_NDVI.jpg
4,456330,182.532,Photo1_2023_02_12_14_00_36_NDVI.jpg
5,455269,182.1076,Photo1_2023_02_12_14_00_36_NDVI.jpg
6,457156,182.8624,Photo1_2023_02_12_14_00_36_NDVI.jpg
7,456951,182.7804,Photo1_2023_02_12_14_00_36_NDVI.jpg
8,457150,182.86,Photo1_2023_02_12_14_00_36_NDVI.jpg
9,461141,184.4564,Photo1_2023_02_12_14_00_36_NDVI.jpg
10,459673,183.8692,Photo1_2023_02_12_14_00_36_NDVI.jpg
1,462872,185.1488,Photo1_2023_02_12_15_00_38_NDVI.jpg
2,459310,183.724,Photo1_2023_02_12_15_00_38_NDVI.jpg
3,457283,182.9132,Photo1_2023_02_12_15_00_38_NDVI.jpg
4,457344,182.9376,Photo1_2023_02_12_15_00_38_NDVI.jpg
5,456449,182.5796,Photo1_2023_02_12_15_00_38_NDVI.jpg
6,458822,183.5288,Photo1_2023_02_12_15_00_38_NDVI.jpg
7,455852,182.3408,Photo1_2023_02_12_15_00_38_NDVI.jpg
8,456706,182.6824,Photo1_2023_02_12_15_00_38_NDVI.jpg
9,461830,184.732,Photo1_2023_02_12_15_00_38_NDVI.jpg
10,458999,183.5996,Photo1_2023_02_12_15_00_38_NDVI.jpg
1,456557,182.6228,Photo1_2023_02_08_15_00_36_NDVI.jpg
2,458940,183.576,Photo1_2023_02_08_15_00_36_NDVI.jpg
3,458017,183.2068,Photo1_2023_02_08_15_00_36_NDVI.jpg
4,458784,183.5136,Photo1_2023_02_08_15_00_36_NDVI.jpg
5,461221,184.4884,Photo1_2023_02_08_15_00_36_NDVI.jpg
6,461183,184.4732,Photo1_2023_02_08_15_00_36_NDVI.jpg
7,464764,185.9056,Photo1_2023_02_08_15_00_36_NDVI.jpg
8,468558,187.4232,Photo1_2023_02_08_15_00_36_NDVI.jpg
9,457375,182.95,Photo1_2023_02_08_15_00_36_NDVI.jpg
10,457329,182.9316,Photo1_2023_02_08_15_00_36_NDVI.jpg
1,456956,182.7824,Photo1_2023_02_08_13_00_36_NDVI.jpg
2,461044,184.4176,Photo1_2023_02_08_13_00_36_NDVI.jpg
3,457709,183.0836,Photo1_2023_02_08_13_00_36_NDVI.jpg
4,457061,182.8244,Photo1_2023_02_08_13_00_36_NDVI.jpg
5,461109,184.4436,Photo1_2023_02_08_13_00_36_NDVI.jpg
6,461014,184.4056,Photo1_2023_02_08_13_00_36_NDVI.jpg
7,463598,185.4392,Photo1_2023_02_08_13_00_36_NDVI.jpg
8,466042,186.4168,Photo1_2023_02_08_13_00_36_NDVI.jpg
9,457050,182.82,Photo1_2023_02_08_13_00_36_NDVI.jpg
10,457147,182.8588,Photo1_2023_02_08_13_00_36_NDVI.jpg
1,456522,182.6088,Photo1_2023_02_08_14_00_37_NDVI.jpg
2,458187,183.2748,Photo1_2023_02_08_14_00_37_NDVI.jpg
3,458823,183.5292,Photo1_2023_02_08_14_00_37_NDVI.jpg
4,458562,183.4248,Photo1_2023_02_08_14_00_37_NDVI.jpg
5,459798,183.9192,Photo1_2023_02_08_14_00_37_NDVI.jpg
6,459721,183.8884,Photo1_2023_02_08_14_00_37_NDVI.jpg
7,460510,184.204,Photo1_2023_02_08_14_00_37_NDVI.jpg
8,466403,186.5612,Photo1_2023_02_08_14_00_37_NDVI.jpg
9,456933,182.7732,Photo1_2023_02_08_14_00_37_NDVI.jpg
10,456229,182.4916,Photo1_2023_02_08_14_00_37_NDVI.jpg
1,460129,184.0516,Photo1_2023_02_08_11_00_38_NDVI.jpg
2,456753,182.7012,Photo1_2023_02_08_11_00_38_NDVI.jpg
3,455086,182.0344,Photo1_2023_02_08_11_00_38_NDVI.jpg
4,460390,184.156,Photo1_2023_02_08_11_00_38_NDVI.jpg
5,458472,183.3888,Photo1_2023_02_08_11_00_38_NDVI.jpg
6,458574,183.4296,Photo1_2023_02_08_11_00_38_NDVI.jpg
7,459928,183.9712,Photo1_2023_02_08_11_00_38_NDVI.jpg
8,457237,182.8948,Photo1_2023_02_08_11_00_38_NDVI.jpg
9,456485,182.594,Photo1_2023_02_08_11_00_38_NDVI.jpg
10,455147,182.0588,Photo1_2023_02_08_11_00_38_NDVI.jpg
1,456726,182.6904,Photo1_2023_02_08_12_00_38_NDVI.jpg
2,458432,183.3728,Photo1_2023_02_08_12_00_38_NDVI.jpg
3,456906,182.7624,Photo1_2023_02_08_12_00_38_NDVI.jpg
4,457289,182.9156,Photo1_2023_02_08_12_00_38_NDVI.jpg
5,461242,184.4968,Photo1_2023_02_08_12_00_38_NDVI.jpg
6,458887,183.5548,Photo1_2023_02_08_12_00_38_NDVI.jpg
7,463612,185.4448,Photo1_2023_02_08_12_00_38_NDVI.jpg
8,466035,186.414,Photo1_2023_02_08_12_00_38_NDVI.jpg
9,457120,182.848,Photo1_2023_02_08_12_00_38_NDVI.jpg
